injector_w_id,producer_w_id,min_injection_hour,max_injection_hour,avg_injection_hour,stddev_injection_hour,min_injection_steam,max_injection_steam,avg_injection_steam,stddev_injection_steam,min_production_oil,max_production_oil,avg_production_oil,stddev_production_oil,min_sor,max_sor,avg_sor,stddev_sor
319,318,336,744,687.2903226,105.7027888,1635.5,7458.5,5477.480645,1326.838934,27.2,1955.1,848.2806452,420.5716132,1.797576328,140.1914894,15.88524647,29.62202712
321,320,336,744,687.2580645,106.1872459,1881.1,7764.5,6263.496774,1521.864016,21.7,1437.7,900.6387097,317.6182391,4.110883518,178.3917051,13.10952766,30.40334269
323,322,168,744,626.9189189,163.488596,590.9,7072,2982.261765,1196.473656,29.5,585.7,198.85,147.7455321,2.275637819,94.86588921,23.14309228,17.94336624
325,324,336,744,686.8387097,106.9900608,1519.4,7891,5958.248387,1535.641286,25.1,1672.4,897.7096774,384.2568088,2.10176834,139.0836653,16.53226346,32.14687039
326,327,397,744,692.6206897,86.15949239,1953.7,9285.5,6649.896552,1787.470762,143.7,2664.7,1143.858621,433.0814912,2.421698503,13.59568546,6.365953848,2.191917591
328,329,248,744,678.75,120.0020447,538,8051,5916.367857,1858.169173,218.6,1424,920.3571429,282.2683114,2.461116194,11.73239924,6.554024209,1.981779515
330,331,336,744,689.1935484,103.902653,1487.2,9027.6,6518.064516,1774.244606,30.9,1577.3,1030.048387,385.5531459,4.25955802,124.9805825,10.42178262,20.98432087
333,332,336,744,688.8387097,100.4689328,1879.9,7736.8,5774.967742,1410.958199,22.9,1191.7,706.9580645,282.3943429,3.985940076,149.5585938,17.34599794,29.97132399
335,334,368,744,676.1842105,96.24907308,966,4731.3,2966.827027,930.1260268,11.7,579.2,251.827027,151.6545837,2.012080816,233.2991453,22.03020154,37.15201538
337,336,72,744,639.8947368,159.4466427,179.5,6319,3562.351351,1337.547179,33.3,2193.1,248.4756757,344.4251514,2.881309562,84.8285124,24.81951928,19.56101096
339,338,72,744,640.6666667,155.4618473,619.3,7326.2,3045.907692,1145.38683,2.3,740.5,283.1897436,180.5695563,2.515327481,778.4347826,34.0215914,121.1371187
341,340,24,744,609.2903226,178.9624157,681.4,5869.3,2466.865385,1166.211706,1.7,1088.5,139.5730769,209.9073902,2.259163987,1395.470588,107.9995434,268.5839171
343,342,22,744,559.2333333,223.4203836,144.3,5906.2,2496.365385,1536.193024,4.2,1103.5,176.9269231,265.3524608,2.742727685,318.6190476,45.55086689,62.81902609
345,344,35,744,506.6521739,254.290208,0.2,3516.4,2143.772727,1190.276557,4.2,1673.4,290.0681818,373.6594628,0.047619048,95.03783784,17.29116013,19.37685619
347,346,144,744,600.4285714,179.9218084,494.5,4316.9,2389.035,988.4275523,16.5,2809.2,290.04,597.7600729,0.456998434,90.092827,31.08048042,27.62000659
349,348,193,744,679.5555556,127.6546824,1311.6,8453.1,6615.74,1789.145303,9.3,2029.6,1002.928,476.5173367,2.72834762,266.9247312,18.06155946,50.9436694
352,353,7,744,599.7166667,192.8122026,0.1,5398.3,2759.402326,1304.76867,1.5,575.8,133.6348837,134.3863014,0.001319261,1819.333333,123.4400596,376.2733255
356,357,6,744,592.1296296,194.168284,534.6,7155.8,2921.733333,1326.033768,0.7,1658.7,162.9487179,280.6654437,0.877253271,3974.857143,227.6080477,702.4622589
358,359,6,744,592.0188679,202.8527782,343.3,4593.3,2540.731429,1030.456501,0.5,1263.5,188.4142857,282.3934054,2.393404462,4804,428.1107989,1024.598371
361,360,168,744,686.3375,112.8297635,780.5,10754.2,6768.124051,2140.328127,92.6,1868.2,764.4417722,369.4316853,1.991715976,67.56388416,11.34121058,8.537947029
363,362,7,744,638.1492537,166.6615381,199.8,7680.8,4324.550794,1757.049333,6.3,1547,592.3142857,332.8796023,1.921084581,137.282392,12.80491274,19.5739995
365,364,29,744,646.4125,170.4460042,137.7,8636.2,5316.68,1843.553065,41.8,2627.7,871.04375,505.847077,2.369829128,43.31414056,8.261503023,6.821484354
367,366,24,744,673.0789474,137.7880269,388.2,8421.8,4960.263514,1563.855477,54.7,2155.9,814.5202703,467.3139551,1.724791882,63.63254113,8.883620534,8.667378044
369,368,168,744,669.3544304,126.5330643,761.8,5626.1,3289.496154,1083.235036,5.6,1058.1,379.7525641,232.5135869,3.298614215,216.7678571,17.19271726,27.93846703
371,370,27,744,629.7536232,175.8896216,493.1,5618.9,3266.489062,1075.49763,9.1,1006.2,285.128125,217.7983494,3.266050487,402.4615385,26.65494299,54.88886419
373,372,42,744,609.7702703,188.6535236,7.3,7170,2951.064286,1340.780541,0.3,754.4,212.1285714,175.2986724,0.106725146,548.2758621,48.23058692,97.07036541
375,374,62,744,645.056338,142.4087565,249.4,5549,3144.970769,1137.275744,9,1060.3,311.4015385,241.0564174,2.829854097,519.2444444,29.37815963,71.90025437
