@relation CHOPSWellDataOriginal

@attribute CHOPS_UWI {100011404808W400,100012705103W400,100012805202W400,100020305203W400,100021604901W400,100021605103W400,100022304902W400,100022705103W400,100022705202W400,100023604806W400,100023605004W400,100031905006W400,100032705202W400,100033205206W400,100040905102W400,100041804901W400,100043405006W400,100043405202W400,100051204501W400,100051705103W400,100051804901W400,100052005003W400,100052605103W400,100053205003W400,100060204601W400,100060605102W400,100062704907W400,100062805202W400,100070305203W400,100071005103W400,100072205202W400,100073405202W400,100080205003W400,100081005103W400,100082705103W400,100082905205W400,100083305006W400,100090405102W400,100090504901W400,100092205103W400,100092904902W400,100093305002W400,100093605004W400,100101204501W400,100101805006W400,100102205202W400,100102805202W400,100103305002W400,100103305202W400,100111705103W400,100112105103W400,100112405007W400,100113105003W400,100113305002W400,100120405201W400,100122605103W400,100122705103W400,100122904902W400,100122904906W400,100132104906W400,100132305103W400,100132505004W400,100132605103W400,100140405102W400,100141205003W400,100142205103W400,100143305002W400,100143305202W400,100143405202W400,100150405102W400,100150605006W400,100151004901W400,100151204501W400,100151505202W400,100151605103W400,100152105103W400,100152405202W400,100162205103W400,100162205202W400,100162405202W400,100162505004W400,100163605003W400,100163605004W400,102022205202W400,102022404902W400,102022905003W400,102031605103W400,102050704807W400,102062405201W400,102071305007W400,102072805103W400,102082105103W400,102082805202W400,102083105003W400,102091705103W400,102092105103W400,102101705103W400,102111005103W400,102111705103W400,102111805006W400,102112405007W400,102113405202W400,102122904906W400,102131805006W400,102141204501W400,102141605103W400,102151305007W400,102152205103W400,102152805202W400,102160405102W400,102161305007W400,102162805202W400,102163605004W400,103032905003W400,103090405102W400,103092105103W400,103101305007W400,105061204808W400}
@attribute Object_ID numeric
@attribute PHIc numeric
@attribute PHIR numeric
@attribute Vshc numeric
@attribute Soc numeric
@attribute KRc numeric
@attribute H numeric
@attribute Pc numeric
@attribute Pp numeric
@attribute Pt numeric

@data
100151605103W400,64,18.080742,80.642045,4.082663,41.259833,150.906516,61,429.21,15.124362,43
100152105103W400,30,13.759009,42.420098,2.662197,30.644252,108.025125,50,96.34,5.00674,17
100152405202W400,82,6.375559,50.979731,1.460415,15.973587,36.508465,21,403.05,16.818814,39
100162205103W400,81,17.446466,81.309754,2.471024,40.581315,133.086898,57,569.17,12.470447,78
100162205202W400,111,11.908046,72.002716,2.411422,29.440372,114.902366,41,289.53,8.792489,41
100162405202W400,36,6.960099,68.290956,1.70684,16.805461,43.689513,23,164.85,10.969602,29
100162505004W400,107,8.751372,41.182615,1.355377,23.19314,57.680011,31,32.91,5.895523,6
100163605003W400,87,17.404213,55.715886,1.327062,35.716742,106.164371,56,919.93,24.24882,60
100163605004W400,58,13.668888,63.942567,3.084662,37.002165,118.062964,48,40,5.993028,7
102022205202W400,94,11.635573,117.034084,1.709352,27.239923,69.196647,36,283.18,15.347021,25
102022404902W400,50,16.427162,74.351724,1.35881,39.544963,97.414275,55,283.23,7.926362,46
102022905003W400,90,19.597638,109.592035,3.278205,46.629462,108.008626,65,436.49,9.630485,68
102031605103W400,76,14.951639,99.18767,2.454603,29.761684,105.066497,49,278.94,12.400172,36
102050704807W400,102,5.30718,50.615976,2.007026,17.622881,27.526802,21,1452.97,17.661938,144
102062405201W400,14,19.102394,104.148647,4.982131,46.169312,128.569367,67,860.44,28.607664,54
102071305007W400,84,9.473227,77.251225,1.067752,21.497592,77.0763,29,31.63,5.00844,4
102072805103W400,60,12.257192,70.253356,2.836366,25.548693,120.883451,43,23.37,9.040885,4
102082105103W400,109,14.973357,80.099482,2.496483,36.844117,113.101855,55,219.73,12.839483,24
102082805202W400,96,13.626801,85.596593,4.145613,35.652749,80.68919,45,112.81,8.515688,13
102083105003W400,44,13.030234,68.267196,2.532269,32.793441,98.850866,42,57.63,6.170909,13
102091705103W400,67,9.578289,90.762052,1.575801,19.322716,74.794992,30,215.42,8.226441,36
102092105103W400,31,15.583657,61.463649,2.465666,35.614841,104.869002,52,58.24,8.922837,7
102101705103W400,72,18.541246,110.294891,3.906217,42.183229,108.965812,63,433.04,13.391736,57
102111005103W400,25,19.066838,112.485503,3.112846,38.222033,139.204292,59,133.23,6.310521,26
102111705103W400,74,12.197933,78.679999,2.294894,24.6506,106.630043,41,4.84,4.49522,0
102111805006W400,18,10.993772,69.484675,1.424958,24.398244,58.431498,37,15.87,4.706575,3
102112405007W400,83,17.184593,85.787746,1.643337,38.63014,110.576266,53,10.23,4.664915,2
102113405202W400,26,17.857518,175.483146,3.25323,45.125571,88.938982,56,226.05,7.303222,40
102122904906W400,93,8.982409,72.130225,1.581728,19.103699,51.666635,33,46.35,4.128697,0
102131805006W400,78,17.80839,59.209287,3.764754,39.061095,86.613084,55,47.43,7.293416,10
102141204501W400,2,9.293901,46.135812,2.613937,21.722823,53.703606,33,94.71,7.137804,18
102141605103W400,63,13.844962,60.573987,1.410055,28.450738,99.543695,44,328.72,14.355625,29
102151305007W400,39,14.329512,124.575983,1.963617,34.886248,88.241843,46,11.3,5.501832,2
102152205103W400,80,12.545205,116.5704,1.911055,27.198163,84.419499,40,673.66,10.478198,85
102152805202W400,68,15.92626,107.525571,3.668364,38.072804,105.705445,52,365.05,12.855478,42
102160405102W400,24,32.770703,229.307655,3.333027,75.158238,168.889776,106,758.94,31.813674,31
102161305007W400,43,20.309203,177.976392,1.631475,48.504582,110.785751,60,128.39,10.808039,22
102162805202W400,69,13.891435,60.350453,3.882195,32.324092,89.90526,46,0,0.855385,0
102163605004W400,59,13.298137,62.917294,3.604593,34.623042,76.207235,49,14.46,3.814063,0
103032905003W400,91,19.267136,125.528907,4.003318,45.904904,132.319066,65,400.63,9.6833,61
103090405102W400,21,28.721974,212.883541,3.412883,70.507298,186.973752,94,770.71,31.031902,47
103092105103W400,32,9.033021,59.681261,1.350186,20.582698,76.186626,30,9.36,3.248652,0
103101305007W400,38,13.178876,146.363727,1.377826,30.993584,81.524565,40,31.92,5.319162,11
105061204808W400,5,12.340774,133.022292,2.662118,30.649917,114.58791,41,58.82,5.469463,13
